ProjectilePosition, ActualDistance; EstimateDistance; Error
8, 1.5, (0.0, 0.0, 8.0), 1
(-5.7, 0.0, 5.7); 8; 2; 6
8, 1.5, (0.0, 0.0, 8.0), 1
(5.7, 0.0, -5.7); 8; 2; 6
8, 1.5, (0.0, 0.0, 8.0), 1
(4.2, 0.0, -4.2); 6; 2; 4
8, 1.5, (0.0, 0.0, 8.0), 1
(-8.0, 0.0, 0.0); 8; 2; 6
8, 1.5, (0.0, 0.0, 8.0), 1
(1.4, 0.0, 1.4); 2; 2; 0
8, 1.5, (0.0, 0.0, 8.0), 1
(0.0, 0.0, 6.0); 6; 2; 4
8, 1.5, (0.0, 0.0, 8.0), 1
(-1.4, 0.0, -1.4); 2; 2; 0
8, 1.5, (0.0, 0.0, 8.0), 1
(-6.0, 0.0, 0.0); 6; 2; 4
8, 1.5, (0.0, 0.0, 8.0), 1
(6.0, 0.0, 0.0); 6; 2; 4
8, 1.5, (0.0, 0.0, 8.0), 1
(0.0, 0.0, -4.0); 4; 2; 2
8, 1.5, (0.0, 0.0, 8.0), 1
(6.0, 0.0, 0.0); 6; 2; 4
8, 1.5, (0.0, 0.0, 8.0), 1
(4.0, 0.0, 0.0); 4; 2; 2
8, 1.5, (0.0, 0.0, 8.0), 1
(2.8, 0.0, -2.8); 4; 2; 2
8, 1.5, (0.0, 0.0, 8.0), 1
(-4.2, 0.0, 4.2); 6; 2; 4
8, 1.5, (0.0, 0.0, 8.0), 1
(-4.2, 0.0, -4.2); 6; 2; 4
8, 1.5, (0.0, 0.0, 8.0), 1
(5.7, 0.0, 5.7); 8; 2; 6
8, 1.5, (0.0, 0.0, 8.0), 1
(-2.8, 0.0, -2.8); 4; 2; 2
8, 1.5, (0.0, 0.0, 8.0), 1
(2.8, 0.0, 2.8); 4; 2; 2
8, 1.5, (0.0, 0.0, 8.0), 1
(4.0, 0.0, 0.0); 4; 2; 2
8, 1.5, (0.0, 0.0, 8.0), 1
(0.0, 0.0, -2.0); 2; 2; 0
8, 1.5, (0.0, 0.0, 8.0), 1
(0.0, 0.0, 8.0); 8; 2; 6
8, 1.5, (0.0, 0.0, 8.0), 1
(4.2, 0.0, 4.2); 6; 2; 4
8, 1.5, (0.0, 0.0, 8.0), 1
(-1.4, 0.0, 1.4); 2; 2; 0
8, 1.5, (0.0, 0.0, 8.0), 1
(0.0, 0.0, -8.0); 8; 2; 6
8, 1.5, (0.0, 0.0, 8.0), 1
(0.0, 0.0, 4.0); 4; 2; 2
8, 1.5, (0.0, 0.0, 8.0), 1
(-5.7, 0.0, -5.7); 8; 2; 6
8, 1.5, (0.0, 0.0, 8.0), 1
(0.0, 0.0, 2.0); 2; 2; 0
8, 1.5, (0.0, 0.0, 8.0), 1
(-2.8, 0.0, 2.8); 4; 2; 2
8, 1.5, (0.0, 0.0, 8.0), 1
(1.4, 0.0, -1.4); 2; 2; 0
8, 1.5, (0.0, 0.0, 8.0), 1
(8.0, 0.0, 0.0); 8; 2; 6
8, 1.5, (0.0, 0.0, 8.0), 1
(2.0, 0.0, 0.0); 2; 2; 0
8, 1.5, (0.0, 0.0, 8.0), 1
(-4.0, 0.0, 0.0); 4; 2; 2
8, 1.5, (0.0, 0.0, 8.0), 1
(0.0, 0.0, -6.0); 6; 2; 4
8, 1.5, (0.0, 0.0, 8.0), 1
(8.0, 0.0, 0.0); 8; 2; 6
8, 1.5, (0.0, 0.0, 8.0), 1
(-2.0, 0.0, 0.0); 2; 2; 0
8, 1.5, (0.0, 0.0, 8.0), 1
(2.0, 0.0, 0.0); 2; 2; 0
