reactionTime;closestDist;hit;correct;direction
2.547073;1.663359;0;1;(-1.0, 0.1, 0.2)
2.748077;0.5580686;1;1;(0.9, 0.0, 0.5)
2.949089;2.205144;0;1;(1.0, -0.2, -0.1)
3.166107;1.66338;0;1;(0.7, -0.2, -0.7)
3.336136;3.253895;0;1;(-0.5, -0.2, -0.8)
3.335022;4.000011;0;1;(-0.9, 0.5, 0.1)
3.134163;0.2796994;1;1;(-1.0, 0.0, 0.0)
2.699104;0.8363129;1;1;(1.0, -0.1, -0.2)
3.368103;1.11345;0;0;(-0.8, -0.1, -0.6)
3.36702;0.8363825;1;0;(0.5, 0.1, 0.9)
3.151222;2.205142;0;1;(-0.9, -0.2, 0.5)
3.184097;2.736185;0;1;(0.9, -0.3, -0.3)
3.486206;2.736178;0;0;(0.9, -0.1, 0.5)
3.418198;0.02378399;1;0;(0.4, 0.0, -0.9)
3.151169;4.000019;0;1;(0.9, -0.3, 0.0)
3.18602;0.02411271;1;1;(0.2, 0.0, 1.0)
3.251114;2.736177;0;1;(-0.8, -0.3, 0.5)
3.336197;1.935423;0;1;(0.1, 0.0, -1.0)
3.251068;0.8363141;1;1;(-1.0, -0.1, -0.1)
4.072067;1.93541;0;1;(0.9, 0.2, 0.3)
