reactionTime;closestDist;hit;correct;direction
2.531006;1.663363;0;1;(-1.0, 0.1, 0.2)
2.346012;0.5580685;1;0;(0.9, 0.0, 0.5)
2.999939;2.205141;0;1;(1.0, -0.2, -0.1)
3.016029;1.66338;0;1;(0.7, -0.2, -0.7)
2.529953;3.253896;0;1;(-0.5, -0.2, -0.8)
2.061058;4.000011;0;1;(-0.9, 0.5, 0.1)
2.127975;0.2797094;1;1;(-1.0, 0.0, 0.0)
2.631065;0.8363447;1;1;(1.0, -0.1, -0.2)
2.93306;1.113451;0;0;(-0.8, -0.1, -0.6)
2.613914;0.8363152;1;0;(0.5, 0.1, 0.9)
2.982986;2.205144;0;0;(-0.9, -0.2, 0.5)
2.781075;2.736184;0;1;(0.9, -0.3, -0.3)
2.781067;2.736186;0;1;(0.9, -0.1, 0.5)
3.118103;0.01989821;1;1;(0.4, 0.0, -0.9)
2.982117;4.000008;0;1;(0.9, -0.3, 0.0)
3.100037;0.02386566;1;1;(0.2, 0.0, 1.0)
2.798111;2.736186;0;1;(-0.8, -0.3, 0.5)
3.016113;1.935423;0;0;(0.1, 0.0, -1.0)
2.396011;0.8363135;1;0;(-1.0, -0.1, -0.1)
2.950073;1.935424;0;0;(0.9, 0.2, 0.3)
